year,citationcount,percentile
1882,3,0
1882,0,1
1882,0,2
1882,0,3
1882,0,4
1882,0,5
1882,0,6
1882,0,7
1882,0,8
1882,0,9
1882,0,10
1882,0,11
1882,0,12
1882,0,13
1882,0,14
1882,0,15
1882,0,16
1882,0,17
1882,0,18
1882,0,19
1882,0,20
1882,0,21
1882,0,22
1882,0,23
1882,0,24
1882,0,25
1882,0,26
1882,0,27
1882,0,28
1882,0,29
1882,0,30
1882,0,31
1882,0,32
1882,0,33
1882,0,34
1882,0,35
1882,0,36
1882,0,37
1882,0,38
1882,0,39
1882,0,40
1882,0,41
1882,0,42
1882,0,43
1882,0,44
1882,0,45
1882,0,46
1882,0,47
1882,0,48
1882,0,49
1882,0,50
1882,0,51
1882,0,52
1882,0,53
1882,0,54
1882,0,55
1882,0,56
1882,0,57
1882,0,58
1882,0,59
1882,0,60
1882,0,61
1882,0,62
1882,0,63
1882,0,64
1882,0,65
1882,0,66
1882,0,67
1882,0,68
1882,0,69
1882,0,70
1882,0,71
1882,0,72
1882,0,73
1882,0,74
1882,0,75
1882,0,76
1882,0,77
1882,0,78
1882,0,79
1882,0,80
1882,0,81
1882,0,82
1882,0,83
1882,0,84
1882,0,85
1882,0,86
1882,0,87
1882,0,88
1882,0,89
1882,0,90
1882,0,91
1882,0,92
1882,0,93
1882,0,94
1882,0,95
1882,0,96
1882,0,97
1882,0,98
1882,0,99
1977,16441,0
1977,47,1
1977,30,2
1977,23,3
1977,18,4
1977,15,5
1977,13,6
1977,12,7
1977,10,8
1977,9,9
1977,8,10
1977,7,11
1977,7,12
1977,6,13
1977,6,14
1977,5,15
1977,5,16
1977,4,17
1977,4,18
1977,4,19
1977,3,20
1977,3,21
1977,3,22
1977,3,23
1977,3,24
1977,2,25
1977,2,26
1977,2,27
1977,2,28
1977,2,29
1977,2,30
1977,1,31
1977,1,32
1977,1,33
1977,1,34
1977,1,35
1977,1,36
1977,1,37
1977,1,38
1977,1,39
1977,1,40
1977,1,41
1977,1,42
1977,0,43
1977,0,44
1977,0,45
1977,0,46
1977,0,47
1977,0,48
1977,0,49
1977,0,50
1977,0,51
1977,0,52
1977,0,53
1977,0,54
1977,0,55
1977,0,56
1977,0,57
1977,0,58
1977,0,59
1977,0,60
1977,0,61
1977,0,62
1977,0,63
1977,0,64
1977,0,65
1977,0,66
1977,0,67
1977,0,68
1977,0,69
1977,0,70
1977,0,71
1977,0,72
1977,0,73
1977,0,74
1977,0,75
1977,0,76
1977,0,77
1977,0,78
1977,0,79
1977,0,80
1977,0,81
1977,0,82
1977,0,83
1977,0,84
1977,0,85
1977,0,86
1977,0,87
1977,0,88
1977,0,89
1977,0,90
1977,0,91
1977,0,92
1977,0,93
1977,0,94
1977,0,95
1977,0,96
1977,0,97
1977,0,98
1977,0,99
1868,81,0
1868,0,1
1868,0,2
1868,0,3
1868,0,4
1868,0,5
1868,0,6
1868,0,7
1868,0,8
1868,0,9
1868,0,10
1868,0,11
1868,0,12
1868,0,13
1868,0,14
1868,0,15
1868,0,16
1868,0,17
1868,0,18
1868,0,19
1868,0,20
1868,0,21
1868,0,22
1868,0,23
1868,0,24
1868,0,25
1868,0,26
1868,0,27
1868,0,28
1868,0,29
1868,0,30
1868,0,31
1868,0,32
1868,0,33
1868,0,34
1868,0,35
1868,0,36
1868,0,37
1868,0,38
1868,0,39
1868,0,40
1868,0,41
1868,0,42
1868,0,43
1868,0,44
1868,0,45
1868,0,46
1868,0,47
1868,0,48
1868,0,49
1868,0,50
1868,0,51
1868,0,52
1868,0,53
1868,0,54
1868,0,55
1868,0,56
1868,0,57
1868,0,58
1868,0,59
1868,0,60
1868,0,61
1868,0,62
1868,0,63
1868,0,64
1868,0,65
1868,0,66
1868,0,67
1868,0,68
1868,0,69
1868,0,70
1868,0,71
1868,0,72
1868,0,73
1868,0,74
1868,0,75
1868,0,76
1868,0,77
1868,0,78
1868,0,79
1868,0,80
1868,0,81
1868,0,82
1868,0,83
